Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"119.472,00",30.04.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"100.009,00",30.04.2025
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Bechtle Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"102.076,00",30.04.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"141.696,00",30.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"198.270,00",30.04.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"79.301,25",29.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",29.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"60.980,50",29.04.2025
SAP Order Form Multicloud,SAP Österreich GmbH Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"8.557.992,26",28.04.2025
Abrufbestellung aus der Rahmenvereinbarung Diverse Standardsoftware,SoftwareONE Österreich GmbH,48900000 Diverse Softwarepakete und Computersysteme,1.0,"72.836,62",24.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"96.970,00",21.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"74.020,00",18.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"91.596,00",18.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"57.200,00",18.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"89.490,00",18.04.2025
DIEP Laborumgebung 07.04.2025 bis 09.08.2025,SAP Österreich GmbH Zentrale,72260000 Dienstleistungen in Verbindung mit Software,1.0,"93.579,42",17.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"64.476,00",17.04.2025
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"60.480,00",17.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"59.255,00",17.04.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.010,00",17.04.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"297.524,38",16.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"177.648,00",15.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"160.786,05",15.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"200.325,91",15.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"184.013,80",15.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"244.130,60",15.04.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"96.714,00",15.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",14.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"80.541,00",14.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"79.180,00",14.04.2025
Abruf aus Rahmenvereinbarung,EDV-Design Informations-,48000000 Softwarepaket und Informationssysteme,0.0,"223.979,98",09.04.2025
Digital Asset Management-System,CELUM GMBH,48000000 Softwarepaket und Informationssysteme,0.0,"169.109,25",07.04.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"84.336,25",07.04.2025
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"61.400,00",07.04.2025
Abruf aus Rahmenvereinbarung,NTT DATA Deutschland GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"484.345,00",07.04.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"89.293,75",04.04.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"415.255,23",04.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"169.980,00",01.04.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"178.980,00",01.04.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"175.024,00",01.04.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"88.562,50",01.04.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"94.370,00",31.03.2025
IT Dienstleistungen - Development Web,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"91.020,00",31.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",31.03.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"136.379,10",28.03.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"61.535,00",27.03.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"75.496,00",27.03.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"874.800,00",27.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",27.03.2025
IT Dienstleistungen - Development Web,Tieto Austria GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"151.700,00",26.03.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"77.490,00",25.03.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"78.500,00",25.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"95.400,00",24.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"339.960,00",21.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"148.040,00",21.03.2025
Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"61.600,00",21.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"791.800,00",21.03.2025
IT Dienstleistungen - System Design,Nagarro GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"107.310,00",21.03.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"71.770,00",19.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"72.862,50",18.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"83.711,91",18.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"99.229,00",18.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"99.216,00",18.03.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"80.224,00",18.03.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"79.180,00",18.03.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"72.757,50",14.03.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"90.252,00",14.03.2025
Organisation 2.0 & Strategieklausur 25,Die Umsetzer Hauptabteilung,79413000 Marketing-Beratung,1.0,"70.500,00",13.03.2025
Abruf aus Rahmenvereinbarung,DIVCON Consulting GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"72.350,00",11.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",11.03.2025
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"356.930,00",11.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"91.359,87",10.03.2025
Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"122.400,00",10.03.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"99.560,00",07.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"88.112,50",06.03.2025
IT Dienstleistungen - DevOps,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"93.576,00",06.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"90.667,50",05.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"57.110,31",05.03.2025
CRM & PowerPlattform,"Orbis Austria GmbH, Sales","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",7.0,"385.394,70",04.03.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",03.03.2025
Textilberater 07/2025,MK Textilberatung Textilberatung,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,1.0,"64.832,50",03.03.2025
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"57.798,00",28.02.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"76.330,00",28.02.2025
SAP Business Planning and Consolidation Lizenz und Wartung,SAP Österreich GmbH Zentrale,48900000 Diverse Softwarepakete und Computersysteme,1.0,"90.238,59",28.02.2025
Rahmenvereinbarung INFRALIFE,3B infra infrastruktur management,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"296.136,00",26.02.2025
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",26.02.2025
Rahmenvereinbarung MUM,Netconomy GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"264.435,00",26.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"76.576,00",24.02.2025
Abruf aus Rahmenvereinbarung,HR Force EDV-Beratung GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",3.0,"102.000,00",24.02.2025
IT Dienstleistungen - Testing und Quality Assurance,SOFTCOM CONSULTING GmbH,72220000 Systemberatung und technische Beratung,0.0,"86.124,00",13.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"73.390,16",12.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",12.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"50.350,00",12.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",12.02.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"59.956,20",12.02.2025
IT Dienstleistungen - Development Mobile,NOUS Wissensmanagement GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"91.284,00",12.02.2025
Abruf aus Rahmenvereinbarung,dwh GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"544.050,00",11.02.2025
Bacher Systems EDV GmbH - Bedarf Threat Command,Bacher Systems EDV GmbH Systemintegrator,72260000 Dienstleistungen in Verbindung mit Software,1.0,"99.850,00",10.02.2025
Beratungsleistungen zu Risikomanagement CSM-RISK  Los 1 Allgemein,RöschConsult Group GmbH,79417000 Sicherheitsberatung,5.0,"81.000,00",07.02.2025
Lizenzen & Lizenzwartung bzgl. Produkten des Herstellers Atlassian sowie verbundene Dienstleistungen,ByteSource Technology,48000000 Softwarepaket und Informationssysteme,0.0,"50.372,40",07.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"200.552,00",05.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"390.880,00",05.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"128.532,00",05.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"73.842,00",05.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",05.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",05.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",05.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"83.711,91",05.02.2025
Enterprise Identity & Access Management (EIAM),IPG Information Process,48400000 Softwarepaket für Geschäftstransaktionen und persönliche Arbeitsabläufe,5.0,"141.500,50",05.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.000,00",04.02.2025
Abruf aus Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.900,00",04.02.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"72.757,50",04.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"68.700,00",04.02.2025
Abruf aus Rahmenvereinbarung,SOFTCOM CONSULTING GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"66.936,90",04.02.2025
KIRA - KI gestützte ER-Verarbeitung,,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",,,03.02.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"84.848,75",03.02.2025
IT Dienstleistungen - Development Web,EBCONT group GmbH,72200000 Softwareprogrammierung und -beratung,0.0,"89.490,00",03.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"71.106,00",03.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"70.196,00",03.02.2025
Abruf aus Rahmenvereinbarung,T-Systems Austria GesmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"95.720,00",03.02.2025
Abrufbestellung einer Rahmenvereinbarung,Nagarro GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"87.000,00",31.01.2025
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"77.280,00",29.01.2025
Abruf aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"58.440,00",28.01.2025
Subscriptions - Core Virtualisierung (VMWarebyBroadcom),SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"10.842.787,20",28.01.2025
Abrufbestellung aus Rahmenvereinbarung,Tieto Austria GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"155.152,00",27.01.2025
